Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget
10993,2199,364,2046,827,415,442,34.94358811377721,5.784204671857619,32.51231527093596,13.141585889083107,6.594628952804705,7.023677101541395
9723,1962,471,2569,993,409,684,27.68058690744921,6.645033860045146,36.24435665914221,14.00959367945824,5.770316027088036,9.650112866817155
11295,1529,341,2793,1003,140,528,24.139564256394063,5.383643826965582,44.09535838332807,15.835175244711083,2.2102936532996527,8.335964635301547
13046,1176,438,3943,1094,433,726,15.057618437900128,5.60819462227913,50.4865556978233,14.007682458386682,5.5441741357234315,9.295774647887324
9531,1849,121,3278,726,646,892,24.61395101171459,1.6107561235356762,43.63684771033014,9.664536741214057,8.599574014909479,11.87433439829606
9531,1696,542,2332,1118,245,1418,23.07169092640457,7.3731465106788185,31.723575023806283,15.208815127193578,3.332879880288396,19.28989253162835
13158,1947,500,3243,459,709,839,25.295569702481487,6.496037417175522,42.13329868780044,5.96336234896713,9.211381057554892,10.900350786020528
11534,1817,336,2226,874,597,207,29.99834901766551,5.54730064388311,36.75086676572561,14.429585603434042,9.856364536899456,3.4175334323922733
9061,2024,631,3541,902,353,1570,22.43653696929387,6.994789934597051,39.25285445072608,9.99889147544618,3.913091674980601,17.403835494956212
11085,1232,687,2764,1126,471,581,17.956566098236408,10.013117621337997,40.285672642471944,16.411601807316718,6.864888500218627,8.468153330418305
9073,2158,178,2953,1004,819,970,26.70131155654541,2.202425142291512,36.53798564711705,12.422667656520662,10.133630289532295,12.00197970799307
9068,1598,347,3662,718,646,1223,19.502074688796682,4.234805955577252,44.691237490846966,8.762509153038808,7.883817427385892,14.925555284354406
10483,2537,346,2356,803,501,1099,33.19811567652447,4.52761057314839,30.82962575242083,10.507720492017796,6.55587542528134,14.381052080607171
6173,1155,312,2301,1039,452,1547,16.97032030561269,4.584190420217455,33.80840434910373,15.265941816044668,6.641198942109903,22.729944166911547
6550,2367,665,2708,984,515,1239,27.919320594479828,7.8438310922387355,31.94149563576315,11.606510969568294,6.074545883463081,14.61429582448691
8875,1598,461,3519,884,397,569,21.513193322563275,6.206246634356489,47.37479806138934,11.900915455035003,5.344641895530425,7.660204631125471
7974,1174,447,2240,903,79,2089,16.93594922100404,6.448355452971725,32.31390652048471,13.026543566070398,1.1396422388920946,30.13560300057703
10628,1258,99,1583,1139,908,1097,20.677186061801446,1.6272189349112427,26.01906640368179,18.721236028928338,14.92439184746877,18.030900723208415
8183,1339,627,2774,896,531,926,18.877766812350206,8.839701113774144,39.10898068518257,12.63217256450021,7.486254053291979,13.055124770900889
7175,1712,252,3275,982,579,1481,20.67383166284265,3.043110735418428,39.5483637241879,11.85847119913054,6.991909189711388,17.884313488709093
12931,1761,511,3600,1433,488,1124,19.74879443759112,5.7306268924526185,40.372322529998875,16.070427273746777,5.47269260962207,12.605136256588539
9548,1213,555,2768,715,352,1199,17.83299029697148,8.159364892678624,40.69391355483681,10.511614231108497,5.174948544545722,17.627168479858867
10135,1487,772,2794,629,462,2246,17.72348033373063,9.201430274135875,33.3015494636472,7.497020262216925,5.506555423122765,26.769964243146603
7150,2571,238,3576,1156,180,862,29.954561342188047,2.7729232203192358,41.66375393219155,13.468484212979146,2.097168822090178,10.043108470231854
8911,2363,-103,2065,864,955,841,33.82963493199714,-1.474588403722262,29.563350035790982,12.369362920544024,13.672154617036506,12.040085898353615
10221,1718,536,2805,936,253,1058,23.51491924445661,7.336435806186696,38.393101560361345,12.811387900355871,3.4629071995620033,14.48124828907747
7698,1519,860,3095,843,293,1535,18.649478207489256,10.558624923265807,37.9987722529159,10.349907918968693,3.5972989564149787,18.845917740945364
10751,1560,747,3224,948,411,246,21.8609865470852,10.46804932735426,45.17937219730942,13.284753363228699,5.759529147982063,3.447309417040359
8798,1806,541,2745,1319,757,17,25.135699373695196,7.529575504523313,38.20459290187891,18.35768963117606,10.535838552540014,0.23660403618649967
9416,988,401,3017,1160,502,706,14.585178624151165,5.919692943607913,44.53793917921464,17.124298789489224,7.410687924416888,10.422202539120166
8796,1371,661,1755,1172,252,183,25.417130144605117,12.25435669262143,32.53615127919911,21.727845754542084,4.671857619577309,3.39265850945495
13704,665,305,2670,716,750,787,11.284574919395892,5.175632105888342,45.30799253351434,12.150008484642797,12.7269641948074,13.354827761751231
9973,1699,595,3226,769,646,1251,20.75494747129245,7.268507207427315,39.40874664060591,9.39408746640606,7.891522110921084,15.282189103347177
7884,1823,601,2508,432,607,554,27.93869731800766,9.210727969348659,38.4367816091954,6.620689655172414,9.302681992337165,8.490421455938698
11645,1258,712,3029,838,643,286,18.592964824120603,10.523204256577003,44.76795743422997,12.385456695240912,9.503399349689625,4.227017440141886
7558,2286,1051,3223,1191,978,1034,23.414933934241525,10.76513366792994,33.01239373143501,12.19911912322032,10.017412680528526,10.59100686264468
10417,887,578,2828,1103,937,1431,11.424523441524988,7.444616177228233,36.42452344152499,14.206594538897477,12.068521380731582,18.431221020092735
6080,767,398,3085,955,362,152,13.41143556565833,6.959258611645393,53.94299702745236,16.698723553068717,6.329777933205105,2.6578073089700998
7343,1612,494,2518,995,824,1410,20.5271870622692,6.290589583598624,32.06417929453712,12.670317076276582,10.492805297338597,17.95492168597988
10393,2023,146,2896,862,576,1408,25.571988370623185,1.8455315383643027,36.60725571988371,10.896220452534445,7.281001137656427,17.798002780937935
11476,2341,361,3305,1040,599,1477,25.660418721911654,3.9570316781760386,36.22711827249808,11.399758851255068,6.56582264605941,16.18984983009975
10342,1270,418,3078,1153,161,1609,16.517102354012223,5.436337625178827,40.03121342177136,14.995448042658344,2.09390037716218,20.925998179217064
9768,2039,395,2706,676,465,2101,24.32593653066094,4.712479121927941,32.28346456692913,8.064900978286806,5.547602004294918,25.065616797900265
9397,1480,530,3112,1059,337,821,20.16623518190489,7.22169232865513,42.40359722032975,14.429758822727893,4.591906254258073,11.186810192124268
