Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget
33925,7933,2382,5321,2410,2587,5023,30.920642344870597,9.284377923292798,20.739787963829123,9.393514187714375,10.08341128780792,19.57826629248519
21111,6992,2536,5694,3216,1060,6054,27.363807138384473,9.924859110832813,22.283969943644333,12.58609893550407,4.148403256105198,23.692861615529118
33573,7655,2249,5402,3555,1836,1777,34.061582272848625,10.007119337901575,24.036664590193112,15.818278900062294,8.169440242057489,7.906914656936904
28831,9429,1028,6110,3377,1979,3160,37.5911972252123,4.0983933341306855,24.359127696049118,13.463301837898179,7.889805844595942,12.598174062113781
33537,10555,1922,7197,3542,2007,4703,35.27033348927354,6.422508855176101,24.0493216600949,11.835861792421305,6.706542805587115,15.715431397447036
33884,9140,1422,5228,2894,2090,3226,38.083333333333336,5.925,21.78333333333333,12.058333333333334,8.708333333333334,13.441666666666666
38039,8203,1898,7000,2766,2305,3368,32.11824588880188,7.431480031323415,27.4079874706343,10.830070477682067,9.025058731401723,13.187157400156618
36767,10996,2490,5218,2631,1982,4300,39.816055328239855,9.01618568273165,18.894159394575805,9.526740775609225,7.176738965130173,15.570119853713294
36732,7374,2152,5152,2972,1815,6299,28.621332091290174,8.352740257723957,19.9968948920975,11.535475857786057,7.044713553795995,24.44884334730632
37218,10061,2574,6818,2960,1796,4314,35.2732882235389,9.024296182028538,23.90351646040038,10.377590015075553,6.296672860498545,15.124636258458086
31456,7423,2170,6921,3103,1694,7156,26.07580707485861,7.622861558998138,24.312361681947518,10.900340745424526,5.950749991217901,25.137878947553304
30160,8862,1350,6851,2935,2393,3004,34.89663319551093,5.316007088009451,26.977751525890923,11.557393187635363,9.42311478637527,11.829100216578066
34364,7772,739,4684,2933,1676,2496,38.285714285714285,3.6403940886699506,23.073891625615765,14.448275862068966,8.25615763546798,12.295566502463053
33660,7888,2074,5534,2611,2423,8852,26.846368524947245,7.05874344836975,18.834660676604724,8.886393029746104,8.246545504050099,30.12728881628208
28454,7245,1893,6822,3470,2009,3684,28.838116466982445,7.534928153484854,27.154400350276635,13.812044739879791,7.996656450264698,14.663853839111571
32024,10689,1511,6041,3038,1739,2378,42.08930540242558,5.949755867065679,23.787210584343992,11.962513781697904,6.847535044888958,9.363679319577885
29824,6534,1149,4926,2912,2309,1515,33.77616955285603,5.939519255621608,25.46394417162057,15.052985267510985,11.935900749547686,7.831481002843112
25730,6519,1632,6458,2626,1636,7150,25.052841935359904,6.271857345989777,24.818415894854155,10.091848891280119,6.287229545367204,27.47780638714884
36452,12241,1902,5285,2334,2319,4317,43.10514824987675,6.69765476442003,18.610465525741247,8.218888654130572,8.166068032960068,15.20177477287133
30275,9955,2332,7794,3653,2106,4492,32.82012396149281,7.688250032968483,25.69563497296585,12.043386522484505,6.943162336806013,14.809442173282342
40243,3229,2094,7544,3277,1701,4681,14.33454674598242,9.295924709224895,33.49018911480067,14.547633845334278,7.551274083281541,20.78043150137619
21872,6869,2804,6604,2188,2264,7025,24.74958564531239,10.103048209267133,23.79476832168336,7.88354831735966,8.157382719607984,25.311666786769475
27216,4376,1482,7361,3381,2273,4640,18.61098115935865,6.302896270148429,31.306085994981498,14.37927954748437,9.66699272742738,19.733764300599667
30163,6098,2440,6064,3461,2578,9688,20.106169013155725,8.045105344719575,19.99406508622111,11.411520327079693,8.500115401101256,31.943024827722645
35686,1722,2023,6765,3062,2483,5267,8.076165462902168,9.487852921864741,31.7277928899728,14.36075415064253,11.64524903855173,24.702185536066036
31997,7726,2347,7477,3799,2245,7123,25.152195852459553,7.640720122407788,24.341569814760554,12.367744245857343,7.308656444314224,23.18911352020054
31552,5716,1781,6245,3108,1436,6610,22.959511568123396,7.153759640102828,25.08435089974293,12.483933161953727,5.767994858611825,26.550449871465297
24363,8119,2535,5744,2291,3224,4927,30.249627421758568,9.444858420268258,21.400894187779436,8.535767511177347,12.011922503725781,18.35692995529061
24215,4749,2147,4295,3182,1298,3826,24.357593475919373,11.01195055649587,22.02903010719598,16.3204595578807,6.657434477099041,19.62353182540904
31612,8165,1660,5916,3122,2474,5663,30.24074074074074,6.148148148148149,21.91111111111111,11.562962962962962,9.162962962962963,20.97407407407407
